target_id,symbol,ensembl_id
7190,DPYD,ENSG00000188641
7213,TOP2A,ENSG00000131747
7248,TNFRSF8,ENSG00000120949
7270,ATP1A4,ENSG00000132681
7299,PTGFR,ENSG00000122420
16706,CACNA2D1,ENSG00000153956
16729,ALCAM,ENSG00000170017
16738,CD3G,ENSG00000160654
16756,CLDN2,ENSG00000165376
16773,HAS3,ENSG00000103044
16776,AHCYL1,ENSG00000168710
16782,STAG2,ENSG00000101972
16785,RNF6,ENSG00000127870
16787,STBD1,ENSG00000118804
16790,KIR3DL2,ENSG00000240403
16791,AGFG2,ENSG00000106351
16794,COL9A3,ENSG00000092758
16811,SEMA3D,ENSG00000153993
16855,MRPL15,ENSG00000137547
16870,OSR2,ENSG00000164920
16874,PLOD3,ENSG00000106397
16890,SMN2,ENSG00000205571
16898,NKX2-2,ENSG00000125820
16929,SLC26A3,ENSG00000091138
16950,TNKS2,ENSG00000107854
16954,GRM7,ENSG00000196277
16983,TRPC5,ENSG00000072315
17010,COL13A1,ENSG00000197467
17042,TAAR1,ENSG00000146399
17066,METAP2,ENSG00000111142
17074,MADCAM1,ENSG00000099866
17081,CRYL1,ENSG00000165475
17094,ARRDC3,ENSG00000113369
17105,HSF1,ENSG00000185122
17130,EFNA4,ENSG00000243364
17135,ABCA2,ENSG00000107331
17144,ANK3,ENSG00000151150
17222,DPAGT1,ENSG00000172269
17224,CLDN10,ENSG00000134873
17227,NFE4,ENSG00000230257
17230,SLC2A14,ENSG00000173262
17251,TRPC4,ENSG00000133107
17256,HCRTR2,ENSG00000137252
17296,DLX4,ENSG00000108813
17374,STK24,ENSG00000102572
17379,DPYSL5,ENSG00000157851
17414,GPRC5D,ENSG00000111291
17468,CDC7,ENSG00000097046
17474,RHOBTB2,ENSG00000008853
17521,CHRM5,ENSG00000184984
17559,CACNA1I,ENSG00000100346
17582,TYRO3,ENSG00000092445
17592,EMC2,ENSG00000104412
17630,THRA,ENSG00000126351
17670,GM2A,ENSG00000196743
17728,RARG,ENSG00000172819
17745,TNNC2,ENSG00000101470
17763,CUL4A,ENSG00000139842
17799,AKR1C4,ENSG00000198610
17812,CYP2A7,ENSG00000198077
17835,LINC01356,ENSG00000215866
17836,INSC,ENSG00000188487
17838,CYP2A13,ENSG00000197838
17847,SIGLEC8,ENSG00000105366
