ensembl_id,ot_overall_max,ot_genetic_max,ot_animal_model_max,release,release_date,era
ENSG00000152592,1.0,1.0,0.3269797924827962,20.06,2020-06-01,A
ENSG00000117560,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000105697,1.0,1.0,0.2973066336734694,20.06,2020-06-01,A
ENSG00000140538,1.0,0.9116616882383823,0.3267228556549081,20.06,2020-06-01,A
ENSG00000133216,1.0,1.0,0.3251791777352068,20.06,2020-06-01,A
ENSG00000102575,1.0,1.0,0.32520312597123335,20.06,2020-06-01,A
ENSG00000157103,1.0,1.0,0.3242470826170525,20.06,2020-06-01,A
ENSG00000147168,1.0,1.0,0.3268217197075277,20.06,2020-06-01,A
ENSG00000205571,1.0,1.0,0.3253983154287291,20.06,2020-06-01,A
ENSG00000205403,1.0,1.0,0.31774576051884035,20.06,2020-06-01,A
ENSG00000165995,1.0,1.0,0.3006619014980771,20.06,2020-06-01,A
ENSG00000131187,1.0,1.0,0.23272500000000002,20.06,2020-06-01,A
ENSG00000163914,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000160654,1.0,1.0,0.3151264860237375,20.06,2020-06-01,A
ENSG00000179142,1.0,1.0,0.32439006724368513,20.06,2020-06-01,A
ENSG00000120725,1.0,1.0,0.3103863599905466,20.06,2020-06-01,A
ENSG00000170275,1.0,1.0,0.32653881243518046,20.06,2020-06-01,A
ENSG00000101981,1.0,1.0,0.3264762387801204,20.06,2020-06-01,A
ENSG00000104164,1.0,1.0,0.3267706961197915,20.06,2020-06-01,A
ENSG00000184254,1.0,1.0,0.3261958362357083,20.06,2020-06-01,A
ENSG00000101665,1.0,1.0,0.3236135787586633,20.06,2020-06-01,A
ENSG00000091138,1.0,1.0,0.3247579984932435,20.06,2020-06-01,A
ENSG00000114956,1.0,1.0,0.25,20.06,2020-06-01,A
ENSG00000116133,1.0,1.0,0.2970855111111111,20.06,2020-06-01,A
ENSG00000198851,1.0,1.0,0.3145761735517759,20.06,2020-06-01,A
ENSG00000115718,1.0,1.0,0.32392166332268174,20.06,2020-06-01,A
ENSG00000151834,1.0,1.0,0.3248436628752087,20.06,2020-06-01,A
ENSG00000137672,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000111799,1.0,1.0,0.32634229570480605,20.06,2020-06-01,A
ENSG00000109738,1.0,1.0,0.32697584379226585,20.06,2020-06-01,A
ENSG00000101972,1.0,0.0,0.0,20.06,2020-06-01,A
ENSG00000104321,1.0,1.0,0.2946652987811792,20.06,2020-06-01,A
ENSG00000110911,1.0,1.0,0.32690089902323954,20.06,2020-06-01,A
ENSG00000197386,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000172175,1.0,1.0,0.32686167516531034,20.06,2020-06-01,A
ENSG00000133937,1.0,1.0,0.32578128359014163,20.06,2020-06-01,A
ENSG00000095970,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000132639,1.0,0.8121211745209588,0.32699678003697863,20.06,2020-06-01,A
ENSG00000121594,1.0,0.967103477107902,0.309176649076929,20.06,2020-06-01,A
ENSG00000133805,1.0,1.0,0.3201393481702982,20.06,2020-06-01,A
ENSG00000100344,1.0,1.0,0.31692359235455786,20.06,2020-06-01,A
ENSG00000125656,1.0,1.0,0.3269176677755191,20.06,2020-06-01,A
ENSG00000169313,1.0,1.0,0.32501276600389106,20.06,2020-06-01,A
ENSG00000075239,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000165025,1.0,1.0,0.32691879450803124,20.06,2020-06-01,A
ENSG00000057593,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000125845,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000144891,1.0,1.0,0.3259297727604934,20.06,2020-06-01,A
