sponsor,n_originated,n_approved,success_pct
Alkahest,4,0,0.0
Zomagen Biosciences Ltd.,4,0,0.0
Urovant Sciences,4,1,25.0
Nanjing Zenshine Pharmaceuticals,4,0,0.0
Anika Therapeutics,4,0,0.0
Cardinal Health 414,4,0,0.0
Hangzhou Sciwind Biosciences Co,4,0,0.0
Velicept Therapeutics,4,0,0.0
Altimmune,4,0,0.0
Korea Arlico Pharm. Co,4,0,0.0
Y-mAbs Therapeutics,4,1,25.0
Purdue Pharma LP,4,0,0.0
Sanotize Research and Development corp.,4,0,0.0
Alebund Pharmaceuticals,4,0,0.0
Respirent Pharmaceuticals Co Ltd.,4,0,0.0
Brooklyn ImmunoTherapeutics,4,0,0.0
Acorda Therapeutics,4,0,0.0
MediWound Ltd,4,0,0.0
Shanghai Jiatan Pharmatech Co,4,0,0.0
Technoderma Medicines Inc.,4,0,0.0
NovoCure Ltd.,4,0,0.0
"Iterum Therapeutics, International",4,0,0.0
Jiangsu vcare pharmaceutical technology co,4,0,0.0
NPO Petrovax,4,0,0.0
F-star Therapeutics,4,0,0.0
Mundipharma Research,4,0,0.0
"Cutia Therapeutics（Wuxi）Co.,Ltd",4,0,0.0
Sparrow Pharmaceuticals,4,0,0.0
Arog Pharmaceuticals,4,0,0.0
Theravance Biopharma,4,0,0.0
Can-Fite BioPharma,4,0,0.0
BioAge Labs,4,0,0.0
BeyondSpring Pharmaceuticals Inc.,4,0,0.0
CAGE Bio Inc.,4,0,0.0
BioPharmX,4,0,0.0
Matinas BioPharma Nanotechnologies,4,0,0.0
Selecta Biosciences,4,0,0.0
NuSirt Biopharma,4,0,0.0
Genfit,4,0,0.0
ObsEva SA,4,0,0.0
Sichuan Kelun-Biotech Biopharmaceutical Co,4,0,0.0
PhaseBio Pharmaceuticals Inc.,4,0,0.0
HRA Pharma,4,0,0.0
Shanghai HEP Pharmaceutical Co,4,0,0.0
Jecho Biopharmaceuticals Co,4,0,0.0
Cassiopea SpA,4,1,25.0
Viatris Innovation,4,0,0.0
Aziende Chimiche Riunite Angelini Francesco S.p.A,4,0,0.0
Ascentage Pharma Group Inc.,4,0,0.0
Vigonvita Life Sciences,4,0,0.0
"EuBiologics Co.,Ltd",4,0,0.0
Coherus,4,1,25.0
Hovione Scientia,4,0,0.0
UNION therapeutics,4,0,0.0
Medinova,4,0,0.0
PHARMENTERPRISES LLC,4,0,0.0
Fuji Yakuhin Co,4,0,0.0
Sagimet Biosciences Inc.,4,0,0.0
Cardurion Pharmaceuticals,4,0,0.0
Hope Biosciences Research Foundation,4,0,0.0
Suven Life Sciences,4,0,0.0
EQRx International,4,0,0.0
Jiangsu Rec-Biotechnology Co,4,0,0.0
Anthera Pharmaceuticals,4,0,0.0
Oncopeptides AB,3,0,0.0
Talphera,3,0,0.0
AxeroVision,3,0,0.0
Hope Medicine (Nanjing) Co,3,0,0.0
Glia,3,0,0.0
bluebird bio,3,3,100.0
CoImmune,3,0,0.0
Aprea Therapeutics,3,0,0.0
"National Vaccine and Serum Institute, China",3,0,0.0
NovoCure,3,0,0.0
Pentixapharm,3,0,0.0
Inventprise Inc.,3,0,0.0
Anterogen Co,3,0,0.0
Dermavant Sciences,3,0,0.0
Artivion Inc.,3,0,0.0
AngioLab,3,0,0.0
Insud Pharma,3,0,0.0
Energenesis Biomedical Co,3,0,0.0
Cerecor,3,0,0.0
ST Pharm Co,3,0,0.0
Beyond Air Inc.,3,0,0.0
BHR Pharma,3,0,0.0
Canopy Growth Corporation,3,0,0.0
Tilray,3,0,0.0
Teva Pharmaceuticals USA,3,0,0.0
Cetylite Industries,3,0,0.0
Revimmune,3,0,0.0
Allgenesis Biotherapeutics Inc.,3,0,0.0
NFL Biosciences SAS,3,0,0.0
BioAtla,3,0,0.0
Spectrum Pharmaceuticals,3,0,0.0
Betaliq,3,0,0.0
Nevakar,3,0,0.0
Quince Therapeutics,3,0,0.0
Modern Biosciences Ltd,3,0,0.0
Silk Technologies,3,0,0.0
Melt Pharmaceuticals,3,0,0.0
CStone Pharmaceuticals,3,0,0.0
MicuRx,3,0,0.0
UroGen Pharma Ltd.,3,0,0.0
Mimetogen Pharmaceuticals USA,3,0,0.0
Capricor Inc.,3,0,0.0
Bio 54,3,0,0.0
Synlogic,3,0,0.0
Equillium,3,0,0.0
Viatris Specialty LLC,3,0,0.0
Veloce BioPharma LLC,3,0,0.0
CSPC Baike (Shandong) Biopharmaceutical Co,3,0,0.0
Lyra Therapeutics,3,0,0.0
GPCR Therapeutics,3,0,0.0
CG Oncology,3,0,0.0
Edesa Biotech Inc.,3,0,0.0
ECRI bv,3,0,0.0
Gradalis,3,0,0.0
Orient Pharma Co,3,0,0.0
PepTcell,3,0,0.0
Enteris BioPharma Inc.,3,0,0.0
Zevra Therapeutics,3,1,33.3
Alterity Therapeutics,3,0,0.0
Beijing Minhai Biotechnology Co,3,0,0.0
Atox Bio Ltd,3,0,0.0
NeuroDerm Ltd.,3,0,0.0
AlloVir,3,0,0.0
Akorn,3,0,0.0
"Mitotech, SA",3,0,0.0
RECORDATI GROUP,3,0,0.0
Auris Medical,3,0,0.0
La Jolla Pharmaceutical Company,3,0,0.0
Krystal Biotech,3,1,33.3
Regenera Pharma Ltd,3,0,0.0
HighTide Biopharma Pty Ltd,3,0,0.0
Lyndra Inc.,3,0,0.0
MC2 Therapeutics,3,0,0.0
BrightGene Bio-Medical Technology Co,3,0,0.0
Cassava Sciences,3,0,0.0
Mónica Olivares Martín; PhD,3,0,0.0
HanAll BioPharma Co,3,0,0.0
Pierre Fabre Medicament,3,0,0.0
Eucure (Beijing) Biopharma Co,3,0,0.0
Mundipharma Pharmaceuticals,3,0,0.0
Recursion Pharmaceuticals Inc.,3,0,0.0
Next Gen Pharma India,3,0,0.0
DS Biopharma,3,0,0.0
Lumicell,3,1,33.3
